,Tourist Spots,Latitude,Longitude,Location,Type
42,Mormugão fort,15.399722222222222,73.78333333333333,,Archaeological Site
43,Ponda Fort,15.412777777777778,73.98333333333333,,Archaeological Site
45,Fort Tiracol,15.730555555555556,73.66666666666667,,Archaeological Site
50,Shanta Durga Temple,15.395833333333332,73.96666666666667,,Temple
51,Shantadurga Kalangutkarin Temple,15.634722222222221,73.91666666666667,,Temple
52,Shree Betal temple,15.533333333333333,73.98333333333333,,Temple
53,Sharvani Devasthan,15.638333333333334,73.9,,Temple
55,"Mahadev Temple, Tambdi Surla",15.43888888888889,74.25,,Temple
56,"Mallikarjuna Temple, Goa",15.022222222222224,74.06666666666666,,Temple
58,Ramnathi,15.398888888888889,73.96666666666667,,Temple
62,Mondaicaud Bhagavathi Temple,8.163333333333334,77.26666666666667,,Temple
64,Archaeological Museum and Portrait Gallery,15.5025,73.9,,Museum
65,Ashvek Vintage World,15.321111111111112,73.93333333333334,,Museum
66,Goa Chitra Museum,15.265,73.93333333333334,,Museum
67,Goa Science Centre,15.477500000000001,73.8,,Museum
68,Goa State Museum,15.493055555555555,73.81666666666666,,Museum
69,Museum of Christian Art,15.501388888888888,73.9,,Museum
70,Naval Aviation Museum (India),15.374722222222223,73.83333333333333,,Museum
71,Bhagwan Mahaveer Sanctuary and Mollem National Park,15.373611111111112,74.25,,Wildlife
74,Mhadei Wildlife Sanctuary,15.571666666666667,74.16666666666667,,Wildlife
76,Salim Ali Bird Sanctuary,15.514722222222222,73.85,,Wildlife
77,Arlem Breweries Ground,15.295877777777777,73.96666666666667,,Sport
78,Bhausaheb Bandodkar Ground,15.492072222222221,73.8,,Sport
80,Fatorda Stadium,15.289166666666667,73.95,,Sport
81,Goa Cricket Association Academy Ground,15.524066666666668,73.81666666666666,,Sport
84,Duler Stadium,15.598611111111111,73.8,,Sport
85,Fatorda Stadium,15.289166666666667,73.95,,Sport
86,Tilak Maidan Stadium,15.400575,73.8,,Sport
87,Dudhsagar Falls,15.312777777777779,74.3,,WaterFall
1,Bet Dwarka,22.433333333333334,69.11666666666666,,Archaeological Site
2,Bhagatrav,21.55,72.75,,Archaeological Site
3,Champaner-Pavagadh Archaeological Park,22.483333333333334,73.53333333333333,,Archaeological Site
4,Desalpar Gunthli,23.183333333333334,69.43333333333334,,Archaeological Site
5,Dholavira,23.883333333333333,70.2,,Archaeological Site
7,Galteshwar Temple,22.783333333333335,73.26666666666667,,Archaeological Site
8,Ghumli,21.883333333333333,69.75,,Archaeological Site
9,Gohilwad Timbo,21.6,71.2,,Archaeological Site
